Content,Date,Language,Location,Number of Likes,Number of Retweets,In Reply To,Author Name,Author Description,Author Statuses Count,Author Favourites Count,Author Friends Count,Author Followers Count,Author Listed Count,Author Verified,Author
"@thehill Trump is still Trump, but im worry that sleepy joe must put off his masks",22/10/2020 10:10,en,,0,0,@thehill,ha van luat,,2038,1703,412,17,0,FALSE,@luat_ha
"@thehill Trump's events,meetings mean that more people will get the virus.This does not matter to Trump.What does it do to him if a few hundred thousand more die of viruses?Now ☠️296K.His opinion;they are just Suckers,Losers whom he hates&amp; despises. Save the US? Such a fool&amp;an idiot in WH https://t.co/af7nPRomx1",22/10/2020 10:05,en,,0,0,@thehill,Åke(r) Berg,Debattör inom politikområden,4123,30,24,7,0,FALSE,@keberg4
"@thehill When I see these attacks on Giuliani, it only makes me think what he has on Biden is LEGIT.",22/10/2020 10:09,en,,2,0,@thehill,Maja Prelog,,3063,3552,228,170,1,FALSE,@MajaPrelog
"@thehill Why is everyone so stumped? @LindseyGrahamSC Stop talking and start hauling people to jail!  Your race might not be so close Hunter Biden's ex-partner says Joe Biden was involved in China deal
 https://t.co/CsiS84KlsB",22/10/2020 9:56,en,,0,0,@thehill,Life is a Beach,,2790,2644,438,70,1,FALSE,@OrbisCap
@thehill Yea well you’re a globalist so makes sense. Trump isn’t.,22/10/2020 10:07,en,,0,0,@thehill,TraderBob,I trade stocks. I golf a lot. Both give me agita but I’m decent at both.,842,238,72,20,1,FALSE,@GolfTrader18
"@thehill Yet, they're blind, deaf and dumb towards the obvious corruption of Trump.",22/10/2020 10:10,en,,0,0,@thehill,Nel Turner,Proud Navy Mom,7712,46856,233,183,1,FALSE,@turner_nel
"@thehill as the leader of US? Impossible future;horror scenario terrifies.Trump must be in a mental hospital&amp;receive care.He is ill.Dangerous for him-self,for US.He spreads lies,misleading info, slanders,despises, spreads ridicule&amp;hatred? Impossible to support! Vote so Trump disappears!",22/10/2020 10:10,en,,0,0,@keberg4,Åke(r) Berg,Debattör inom politikområden,4123,30,24,7,0,FALSE,@keberg4
@thehill https://t.co/3gAcYU2DuA This thing with Hunter Biden looks REALLY bad. It may just stop Joe’s campaign run in its tracks.,22/10/2020 9:55,en,,1,0,@thehill,Guys With Cigars,Guys With Cigars. The only place to see Guys With Cigars. O.K maybe not the only place. One of the places to see Guys With Cigars. Check us out on  YouTube!!,4800,1186,225,26,2,FALSE,@Yourleader77
@thehill i hope biden doesn’t fall for the trump trump does not have anything of substance to tell the american people so his only tactic is bring up the man child with lies,22/10/2020 10:06,en,,0,0,@thehill,Rachel Henderson,,38747,64585,504,772,5,FALSE,@RachelH73814559
@thehill when has Trump ever listened to anybody? I'm just looking forward to him moving his mouth and gesticulating like a madman while his mic is cut off,22/10/2020 9:50,en,,1,0,@thehill,Don Carlos Toledo,"P.T. Barnum said it so long ago; 
""there's one born every minute, don't you know?""

Black Lives Matter. He/Him. I Block Bots.",14704,7170,937,317,0,FALSE,@DonCarlosToledo
"@thehill “Meadows tries to tell tRump &amp; Q folks ‘it’s all bs’” 

There. I fixed it.",22/10/2020 9:57,en,,3,1,@thehill,Misty Blue 🌊,"Wanna be traveler, aspiring millionaire, former child.",3073,13133,262,70,0,FALSE,@misty549
@thehodl1 @littlesthodler @KamalaHarris I don’t want another season of Trump doing nothing. Change the main character,22/10/2020 9:56,en,,0,0,@thehodl1,Jacob,Big Cleveland sports fan! Just hoping to not get my heart broken every year!,7822,824,638,59,6,FALSE,@Tribefan6923
@thejtlewis @RudyGiuliani Love the fact you tools think Hunter Biden’s going to swing the election 🤪 all we care about is the atrocious job the orange grimace did in fighting covid.,22/10/2020 10:07,en,,0,0,@thejtlewis,rob,,984,399,161,1,0,FALSE,@rob65647059
"@thekjohnston @Mariestapel1 It is not. 
https://t.co/Q9yw5u91BT 
Deleted trump tweets via Factbase: https://t.co/p1AlQrmRBc",22/10/2020 10:01,en,,1,0,@thekjohnston,Ⓜ️uumi🕷️McBot 🏴󠁧󠁢󠁳󠁣󠁴󠁿@🏠3.5%🐟❄️🌊🦋🍑,"Muumi quotes ❄️ DUM EXCUSARE CREDIS, ACCUSAS 🌊 NE BIS IN IDEM 📎 #WorldCitizen🗽💙 FBSI 🦋 FBR 🌊 FBPE 🇪🇺🕯️FPHD 🐟 #Presidementia🍄",74731,77754,3530,2950,1,FALSE,@muumi_tweets
@thekjohnston This is touching. Joe Biden shows empathy and The People love him. We must Vote. Our lives depends on it.,22/10/2020 10:04,en,,0,0,@thekjohnston,Maw Maw,General News Politics History Weather,55910,185855,401,993,8,FALSE,@mawmaw1158
@thekjohnston Trump tucked with Borat?,22/10/2020 10:09,en,,0,0,@thekjohnston,Show_me,"I like Wine, Cycling , Finance and Politics. I enjoy intelligent discussion and abhor partisan trolling.",12506,2755,140,32,0,FALSE,@PinotandPizza
"@themayhamtower @TheValuesVoter Obama didn't create Trump. ""Trumpism"" started looking before even back to Clinton.  It hasn't taken over the GOP until Obama.  Then they showed themselves with birthers and truthers becoming vocal.",22/10/2020 9:57,en,,0,0,@themayhamtower,Gabriel Wood,"Clowns to the left of me,
Jokers to the right, here I am,
Stuck in the middle with you

The true Gospel of Jesus begins and ends with unconditional love.",19659,13858,452,252,1,FALSE,@gchwood
"@themooseoutfron @Octopusgardner @domdomlax @JerryinCA @willchamberlain @esaagar @realDonaldTrump And lets be honest here. We wouldn't be having this conversation if Dems hadn't again picked the worst candidate on their large slate. There were several I would have voted for over Trump, which BTW will be my 1st vote for a Republican for Pres in 36 years of voting.",22/10/2020 10:01,en,,0,0,@themooseoutfron,Chris Hughes,I really don't like people,2101,7769,186,83,1,FALSE,@FormerHifiBuff
@thenewsoncnbc @CNBC @CNN @MSNBC @nytimes interference long as I can remember. But what has been going on since 2015 is simply criminal. Hung @SenSanders with @JoeBiden @BillClinton Crime Bill in 2015. Gag order from DNC now that they want Biden. @alt_fec should void primary &amp; @FCC issue fines,22/10/2020 10:12,en,,0,0,@thenewsoncnbc,3StrikesJoe,"2005, Joe Biden put presidential aspirations ahead of public well being pushing forward bankruptcy law that exploded subprime lending rather than stopping it.",123,9,7,0,0,FALSE,@StrikesJoe
"@thereidout So, even the FBI agrees that Russia and Iran are trying to help Trump win.",22/10/2020 10:08,en,,0,0,@thereidout,Alanfromhythe,Just a guy who cares about the world,1052,3342,62,18,0,FALSE,@alanfromhythe
@thetwerkinggirl It would be interesting and entertaining watch but it could humanise Trump.,22/10/2020 10:07,en,,0,0,@thetwerkinggirl,Benjamin Young,Do I need to add a bio here? Cultural Marxist:NHS:I share Fela Kuti’s birthday: Walter Benjamin: Detroit Techno:Barnet FC:Multiculturalism 🇬🇧🇵🇸🇬🇭✡️✊,14817,187152,2028,859,12,FALSE,@rudebwoyben1
"@thevincedao Can't wait for the ""trump voter regret"" stories after he wins again.🤣",22/10/2020 10:06,en,,0,0,@thevincedao,Brian,,152,9030,163,29,3,FALSE,@Brian88311102
"@tierrapartners @alykhansatchu @BaldingsWorld @KetanVora4 @RonPauliticsJS @RosaLSmothers @MarkHar13514700 @FWIWmacro @Fritz844 @Jkylebass I think when you look at Trump’s donors - whether it’s Adelson or Schwarzman, etc or looking at the overwhelming SF/ Wall Street support for Biden etc- they are all effectively buying admin silence/ detente",22/10/2020 10:00,en,,0,0,@realKunalAShah,🇭🇰 Kunal Shah 🇺🇸🇬🇧,ex GS (The Other Kunal is Still Happily at GS). Here to learn,145098,144540,4999,2490,49,FALSE,@realKunalAShah
"@tierrapartners @alykhansatchu @BaldingsWorld @KetanVora4 @RonPauliticsJS @RosaLSmothers @MarkHar13514700 @FWIWmacro @Fritz844 @Jkylebass Most people think Trump was tough on China- but truth be told - he doesn’t give a damn about Hong Kong, Xinjiang, Taiwan or Tibet. You can see his ZTE reversal- as well as phase 1 - which was a complete Trojan horse of a deal - brokered sadly by my ex-firm’s alumni",22/10/2020 9:58,en,,1,1,@realKunalAShah,🇭🇰 Kunal Shah 🇺🇸🇬🇧,ex GS (The Other Kunal is Still Happily at GS). Here to learn,145098,144540,4999,2490,49,FALSE,@realKunalAShah
"@tierrapartners @alykhansatchu @BaldingsWorld @KetanVora4 @RonPauliticsJS @RosaLSmothers @MarkHar13514700 @FWIWmacro @Fritz844 @Jkylebass To be honest - I am pleasantly surprised something like the HKAA passed or even Trump admins actions against Huawei, Tik Tok, Or even the initial tariffs which morphed from tariffs as negotiation to permanent tariffs

Says a lot about Pottinger/ Demers/ Wray and Pompeo",22/10/2020 10:02,en,,0,0,@realKunalAShah,🇭🇰 Kunal Shah 🇺🇸🇬🇧,ex GS (The Other Kunal is Still Happily at GS). Here to learn,145098,144540,4999,2490,49,FALSE,@realKunalAShah
"@tiginete @susanferrechio @PhilipWegmann @sarafischer @brianstelter Here are further ways in which the story is nonsense.
https://t.co/tbKvSZgrO9",22/10/2020 9:57,en,,0,0,@lldzne,lawrence serewicz,An American in the UK. My book: https://t.co/UfFhZgISQN,170183,109193,1188,1923,364,FALSE,@lldzne
"@tiginete @susanferrechio @PhilipWegmann @sarafischer @brianstelter Strange Trump admitted to grabbing women by their gentitals ie sexual assault and you seem fine with that. Why? 
He admitted to it. He boasted of it.",22/10/2020 9:54,en,,0,0,@tiginete,lawrence serewicz,An American in the UK. My book: https://t.co/UfFhZgISQN,170183,109193,1188,1923,364,FALSE,@lldzne
"@timacheson whats that lassie, trump paid more tax to the CCP than he did to the IRS? https://t.co/CgwWGxdh95",22/10/2020 10:06,en,,0,0,@timacheson,Unobscuresomething,"Can usually be found here chatting egg on politics, miniatures and music. Regularly sanitised feed. No tolerance for intolerance.",3846,4824,352,568,2,FALSE,@smthngnope
"@tinydsbm @TrueAnonPod Because voting for Biden is what he believes in. He's a liberal with anarchist aesthetics, like most breadtubers.",22/10/2020 9:59,en,,0,0,@tinydsbm,chan stera imo,小白痴,373,1780,348,26,0,FALSE,@milfbussy
"@tizzywoman @webbmw17 @TheSWPrincess @B52Malmet @jpierni @DemocracyStorm @DHStokyo @jomareewade @SallyDeal4 @electroboyusa @TeelaResists @ShelbyRatifyERA Every budget Trump has proposed has literally called for cuts in ""entitlement"" programs.",22/10/2020 10:02,en,,1,0,@tizzywoman,Abraham Lincoln and FDR were both Antifa,I would officially be Antifa but I can't find where you sign up.,32497,25220,735,260,1,FALSE,@_dziga_
@tomselliott Was Biden even there?,22/10/2020 10:11,en,,0,0,@tomselliott,Bunter Hidin',If you're here to reply to me it's because you're not smart enough to have an legitimate counterpoint & you're fishing to engage in character assassination,8870,30346,1687,539,0,FALSE,@honcho_miguel
"@tp3555731 @Lovetot86927007 @bropologist @kayleighmcenany @RyannMcEnany @realDonaldTrump Wink wink! So what? Trump likes to hang out with pedophiles and has been accused of sexual molestation dozens of women, and needs to pay for sex. Nothing to see here, he's perfect,  a really good example!",22/10/2020 10:05,en,,0,0,@tp3555731,TrumpIsAKing,"Bitch! He did it he became POTUS, and now he wants do do it again... ugh!",31,26,23,1,0,FALSE,@TrumpIsAKing1
@trentwaugh Biden is NOT my first second or third choice and there’s a lot that would not get done under his administration but Jesus please let the suffering of a Trump presidency end.,22/10/2020 9:52,en,AU,1,0,@trentwaugh,Taylor Robinson 🎃 🦋,26 | she/her | American living abroad | Aspiring Actress 🎬 & Fiction Writer 📚 | icon commissioned by @faunary,26757,248836,1352,1977,8,FALSE,@finelytaylored
@trentwaugh That is... not even remotely true in regards to the U.S. presidential election that’s happening currently. I would take a billion Biden’s in a row over Trump again,22/10/2020 9:50,en,AU,1,0,@trentwaugh,Taylor Robinson 🎃 🦋,26 | she/her | American living abroad | Aspiring Actress 🎬 & Fiction Writer 📚 | icon commissioned by @faunary,26757,248836,1352,1977,8,FALSE,@finelytaylored
"@tribelaw $150 Billion and the promise of more, buys a lot of loyalty from the Iranian military who is responsible for the deaths of thousands of US soldiers in the Middle East. 
 
Biden/Obama paid a bounty for the deaths of US soldiers?",22/10/2020 10:11,en,,0,0,@tribelaw,Dave,Miss the people not the circus former Ghost. Examine every piece of information like a puzzle piece then ask yourself what did I learn Everything has a meaning.,1392,826,184,19,0,FALSE,@Daveismy1wench
@tribelaw @cafael1 By only targeting democrats who were already voting for Biden?,22/10/2020 9:51,en,,0,0,@tribelaw,Jose R,"Sports loving, Mojito drinking , love this country 🇺🇸,",23233,12465,843,618,1,FALSE,@esoj1212
@tribelaw Totally! And directed by TRUMP,22/10/2020 9:51,en,,0,0,@tribelaw,MarilynDurham,"Mother of 2grand to three,learn new cultures. Love my church and workg for our city. Hooked on politics and want to return our country to reasonable leadership.",165745,136871,3888,3403,2,FALSE,@MarilynHanbyDur
@tribelaw Trump can't keep track of many complicated lies in his blockhead; tonight should be a hoot. I hope he conflates the several false narratives he and his few remaining toadies have concocted. Hunter Biden snorting Chinese heroin in a Ukrainian whorehouse while Giuliani jerks off. https://t.co/LDvJ4gYq0V,22/10/2020 9:52,en,,0,0,@tribelaw,SRStange🌊,"White accomplice/ anti-racist.  BLM. Defund, reimagine public safety and stop the continued militarization of Adam 12. 
Ban Qualified Immunity 4 Cops. 8645",3488,4507,1384,285,1,FALSE,@handmaid
"@trulyconservat3 @MarcusCrenshaw9 @peacelovingnj @realDonaldTrump I hope my country wealthier but not at the expense of America ppl. 
Actually Trump's trade policy with China is working. more n more factories are be moved from China to Vietnam, India, etc..
Trump is only president to beat CCP so hard, not Cliton, Bush, Obama.",22/10/2020 10:01,en,,0,0,@trulyconservat3,Dennis X,"I am a honest, diligent merchant from China.",28,17,8,1,0,FALSE,@DXieyong
@trumpanhator2 @realDonaldTrump @JoeBiden Biden would win and it’s not even close,22/10/2020 9:55,en,,0,0,@trumpanhator2,dofnyc,,11385,40405,843,209,0,FALSE,@dnanyc412
"@tyleigh64 @007_cony @JackPosobiec Trump is a long distance runner. He can run against things, for things, into things &amp; away from things. That makes him ambidextorious. He is also a man of God &amp; pays tax all be it in China. So he is an ambidexrous tax paying godly president who is also orange. Vote Trump",22/10/2020 9:50,en,,0,0,@tyleigh64,DR DAN BINGOBONGO,"Trump supporter, Elite Forces, Investigative Journalist, Racist, Sexist, Psychologist, Sociopath, Weapons Dealer, Pathological Liar, Egocentric Dictator,",735,6,0,2,0,FALSE,@alangra64619532
@tzford @Alyssa_Milano I heard that Joe Biden and Kamala Harris had a child together years ago and decided to “put her down” when she was 3 months old after they realized she was not good for their political careers. Must be true since I heard it.,22/10/2020 10:00,en,,0,0,@tzford,Chad Skelton,,159,71,233,21,1,FALSE,@chadmskelton
"@uOttawa These student are all fans of Joe Biden, a man who is guilty of the exact same infraction. Will they denounce him and the Democratic party? https://t.co/gkY0Y1NF44",22/10/2020 9:56,en,,1,0,@uOttawa,The Wunderbunk Poetry Project,"Poet 

https://t.co/Cy2IDMlnZj",247,608,52,49,0,FALSE,@TWBPP1
"@unmaskedmagic @M1cha31Patr1ck @mr_woozals @17AmericanTruth Biden was warning us a year ago about Trump's lack of preparedness for a pandemic. There's no doubt he would have responded better. He wouldn't have downplayed it, lied about it, try to slow down testing, or politicize masks.
https://t.co/Ll6MkIuWxk",22/10/2020 10:09,en,,1,0,@EugeneEugene87,Eugene 🧢🍎,"Entrepreneur, here for the #YangGang, Independent, Jesus follower, degrees in finance/economics & European history. I LIKE BIG MUTTS and I cannot lie",6609,30801,1906,1970,5,FALSE,@EugeneEugene87
"@vallerii @MichelleKinney @TheMarkPantano I’ll give you this, Trump makes every a-hole in this country feel better about themselves. And I don’t blame those kids for being disrespectful to you. Clearly, you have no respect for them, and probably lots of other people.",22/10/2020 9:55,en,,0,0,@vallerii,Scott McGinley,"middle school STEAM teacher, librarian, Simmons GSLIS alum, dad, musician, sports fan, earthling. he/him/his",717,4173,430,97,3,FALSE,@scott_mcginley1
"@vandusensean @Pammy_63 @SKYRIDER4538 Talk about biased thinking. Please elaborate on how you come to that conclusion. You don’t seem to realize trump, solely focused on economy, for his own personal success, threw away our insurance plans that were put in place by a president who actually gave a fuck about r country",22/10/2020 10:09,en,,0,0,@vandusensean,David Miles,"Eagles fan, Progressive, Atheist. not in that order",314,341,178,4,0,FALSE,@Davemilesphilly
"@vintagegal @Golfingtiger121 @CNN You might learn something if you watch CNN and not your propaganda channel. As trump says, he loves the poorly educated. He also means stupid and naive enough to believe all the lies he dishes out.",22/10/2020 9:57,en,,0,0,@vintagegal,RBar,,28,333,36,1,0,FALSE,@RBar29391843
"@virginianpilot Nothing compares to media brain washing voters to sway to  Biden, https://t.co/LCrb225p3w",22/10/2020 10:00,en,,0,0,@virginianpilot,Bunky,,1548,1047,36,9,0,FALSE,@eyeonthefruit
"@vote_blue1120 @y2kgalaxee @thejtlewis @RudyGiuliani Yeah, we all know that Trump's cult can't read. Their ignorance is astounding!",22/10/2020 9:54,en,,0,0,@vote_blue1120,Biden Republican,"#BidenRepublicans #OrangeConManHater   
#CountryOverParty
#BlackLivesDoMatter",1074,9356,50,80,0,FALSE,@majokbolan
@w_terrence Just like Biden she copies everybody else’s moves,22/10/2020 9:54,en,,0,0,@w_terrence,iritaescott,,2769,2761,67,14,0,FALSE,@iritaescott
"@wake_tony @CurlyQ000 No, I'm not kidding. FBI UCR crime reporting data is available online, arrests for child trafficking have not increased much under Trump as it were under Obama. Not enough for you guys to be acting like he's a fucking Messiah.",22/10/2020 9:56,en,,0,0,@wake_tony,j.lynnbck.,"ASCP licensed Histotechnologist || QIHC certified in Immunohistochemistry || Art, Yoga, and Dance || Plant-Based Living",4462,1380,68,64,0,FALSE,@Jlynnbck
"@walmart07654 @HimalayaGlobal @ding_gang
Because anything against Obama/Biden must be true.",22/10/2020 10:10,en,,0,0,@walmart07654,The Obvious,"Serious, goofy, and entertaining. Cubs, Blackhawks fan. Hockey and Technology. Opinions expressed are my own, not my employer.",32925,11693,2666,2561,46,FALSE,@Smrzzy
"@washingtonpost Again it's Save Humanity - not MORE Insanity !
VOTE BIDEN - DUMP TRUMP !",22/10/2020 9:55,en,,0,0,@washingtonpost,Time Walker,"Betazoid, Interdimensional Time Traveler, I speak fluent BS and translate Trump for the deaf.",861,781,109,46,0,FALSE,@TimeWal46043424
@washingtonpost Beijing Trumpy is very desperate. He's trying to win over Jewish voters who heavily favor Biden,22/10/2020 10:08,en,,0,0,@washingtonpost,Martina Maguire,#BlackLivesMatter #BidenHarris2020,3836,3933,98,59,0,FALSE,@MartinaMaguire_
@washingtonpost Didn't Addison just make a rather large $75M donation to Trump's reelection campaign last week? Here's his ROI.,22/10/2020 10:11,en,,0,0,@washingtonpost,Tom Joad,"The only thing necessary for evil to triumph is for good men to do nothing
- Edmund Burke
~ and vote like your life depends on it because it does.",3887,11944,3553,1115,0,FALSE,@Rocka_Rollar
@washingtonpost FAKE FEAR herding trump SHEEP,22/10/2020 9:58,en,,1,0,@washingtonpost,"OLD FAT GRANDPA Stroke victim ""F-U"" Moscow","toss out spoiled BIGLY ORANGE TRUMPkin..
.
my ramblings about ORANGE TRUMPKIN are just OLD soldier still DEFENDING YOUR RIGHTS best i can",3818,3388,39,35,0,FALSE,@LarryJRichards6
@washingtonpost Get a life Trump! Pack your bags! Free ride for you and family is OVER!,22/10/2020 10:03,en,,0,0,@washingtonpost,kim evans,,311,306,10,3,0,FALSE,@kimevan01018735
"@washingtonpost President Obama - a lovely, believable, credible, trustworthy leader. trump - odious, amoral, corrupt, ungodly, and so divisive.",22/10/2020 10:05,en,,0,0,@washingtonpost,J. Rogers,"CPA, CMA. Fascinated by GC financial management processes; and SAP enthusiast",6390,17129,339,129,1,FALSE,@jamie64x
"@washingtonpost The Trump administration does anything Netanyahu, a human rights criminal, asks them to do.",22/10/2020 10:03,en,,0,0,@washingtonpost,BirdyBlue🆘,I’m just here to resist Nazi-Trump. America can only be destroyed from within. Trump & his GOP are that domestic threat #BlackLivesMatter 🌊,17845,11932,2276,1025,3,FALSE,@too2_i
@washingtonpost Trump Administration considers &lt;insert stupidest/meanest thing you can imagine here&gt;.,22/10/2020 9:53,en,,5,0,@washingtonpost,Greg,Just a guy with some thoughts on stuff. Mostly sports and politics. Trump has to go #votehimout,9436,3523,772,312,1,FALSE,@all_outta_gum
"@washingtonpost Um... What?

Groups who support Trump are anti-Semitic, this makes no sense.",22/10/2020 9:54,en,US,4,0,@washingtonpost,We Deserve Better 👊🏻👊🏼👊🏽👊🏾👊🏿,"My name is Paul Erickson, and I am here to take #Trump down. #IMPOTUS #RemoveTrump — We Will Win #Resist + #COVID19",86734,2351,1455,742,1,FALSE,@ToANewFuture
@washingtonpost What about Trump using the white house for political rally? Republicans want to explain the hatch act again?,22/10/2020 9:51,en,,0,0,@washingtonpost,Lonemeteor,"Married, 54,  Phd. MSci, BSci",8021,4122,70,25,1,FALSE,@MeteorIam
"@washingtonpost Your so WRONG! Id bet Proud Boys, Russia &amp; Trump are behind this",22/10/2020 10:02,en,,0,0,@washingtonpost,Diane💙,"We must fight against the Corruption! Voting in Nov. will Save our Lives/Country! 
#BidenHarris2020 💙#BLM #Tsunami2020🌊 #metoo",22657,18014,5000,3214,5,FALSE,@DianeShamp
"@washingtonpost trump administration is 'considering' a lot in its final days.

I think 'panicking' is a better description.",22/10/2020 10:03,en,,0,0,@washingtonpost,Jesus O'Brien1,,8237,18358,195,39,0,FALSE,@JesusOBrien17
"@waterbug721 @biffyMcbiffFace @Val_Riccio @ProjectLincoln @RudyGiuliani To be fair, it's hard to get at the truth. They hear on CNN that Trump called neo-Nazis fine people, so they Google it--and the top results all confirm it. They can't ALL be lying, right? Facts are buried beneath layers of ""trusted sources"" committed to pushing useful lies.",22/10/2020 9:58,en,,1,0,@waterbug721,LeCourt,,2307,12844,31,15,0,FALSE,@LeCourteousMan
"@wcruz73 For a second there, I thought they were talking about trump.... I'm kind of disappointed they weren't. Also, Discovery is exactly what we need right now. Keep up the amazing work!",22/10/2020 9:50,en,,0,0,@wcruz73,Dax,I'm a certified reiki practitioner with a few years of experience. Tarot reader with more than 20yrs under my belt.,981,12454,319,58,0,FALSE,@in2themistreiki
@wewalkbyfaith88 @Big_dog56 @kirstiealley Absolutely Trump 2020,22/10/2020 9:54,en,,0,0,@wewalkbyfaith88,boho,,132,359,33,7,0,FALSE,@Fourboho
"@whatifisaidit @AnnieGabstonH Tell Lindsey I gave to @harrisonjaime.
I gave because I thought Lindsey was strong, that he was a good man, that he would stand up to Trump.
Now, I want to put him out of the misery he created for himself.
Whatever was used to blackmail him, it wasn’t worth it.
Tell him that.",22/10/2020 10:09,en,,0,0,@whatifisaidit,Susan Wilson #IVoted🇺🇸 💙😷,"“Those who cannot remember the past are condemned to repeat it."" Santayana",27306,53188,657,855,5,FALSE,@stevesgirl56
"@whichway4 @reggie19061 @PaulDrake0226 @Razzorbacker @wfaa You have a picture from a public charity event.  Good work.  

Here's the victims' attorney stating that Trump wasn't involved with Epstein: Brad Edwards interview: https://t.co/zBDy4dxi15",22/10/2020 10:08,en,,0,0,@whichway4,queenicarius,Don't be offended but I block all followers.,377,3496,32,0,2,FALSE,@queenicarius
@willbott4 @seandanaher5 Indeed. And Biden will not (or not to the same extent).,22/10/2020 10:04,en,,0,0,@willbott4,Jon Worth,"🇪🇺 citizen, 🇬🇧 passport, 🇩🇪 resident. Teaches @CollegeofEurope. Blogs about EU, politics, #Brexit. Makes #BrexitDiagram. Travel 🚅 🚲. Member @die_gruenen",159176,30072,14205,62672,1497,TRUE,@jonworth
"@willchamberlain Trump's family are grifting off their gov't jobs. Ivanka and Jared Kushner made 134 million $ last year. Screw off about Hunter Biden.
#TrumpCrimeFamily",22/10/2020 10:08,en,,0,0,@willchamberlain,Tux nyc 🗳 vote.org,The party told you to reject all evidence of your eyes and ears. It was their final most essential command - Orwell  #GoodTrouble  VOTE🌊 https://t.co/kN1odxfZKp,187853,205110,2475,2521,53,FALSE,@tux_nyc
@wing_ng80 @RealBrysonGray Actually it's the other way around. Trump is his own worst enemy.,22/10/2020 10:05,en,,0,0,@wing_ng80,SteamySteve,Averagely Psychotic.,141,577,19,4,0,FALSE,@LadybugTrap
@wkyc Bug draw by worst President in history.... 20 cars showed up! Have some integrity and cover Biden Family Corruption!!,22/10/2020 10:03,en,,0,0,@wkyc,Fubarski,,2350,1121,56,5,0,FALSE,@Snafubarski
@wmlawman @DudeWithATube @Oneoneder @SeanTrende No that’s not at all what happened. Obama didn’t know about it and the international community was not engaged in it. They only knew what Biden and the state Department told them. Do some research before posting dumbass statements,22/10/2020 9:53,en,,0,0,@wmlawman,Sonja Carlin,,861,737,163,32,1,FALSE,@sonjacarlin
@wolviam @ScornfulPrism71 @ContraPoints TBH I really think Trump would push for Ivanka or Jared to be VP first,22/10/2020 10:09,en,,0,0,@wolviam,Anarcho-Kamalist 🌹,"Anarcho-Kamalist, Biden-Obamist with moderate progressive characteristics. Kamala will lead the glorious revolution. #Resistance is Praxis",18762,139937,500,569,4,FALSE,@AnarchoKamalist
@wontplayright @OwlbearArmchair @RichardAOB @ProudSocialist Nope. We have to get rid of our guy just as I said. Fortunately we don't have to chose between Trump and Biden. ScoMo is horrible but he isn't completely insane like Trump. As they say only in America.,22/10/2020 10:00,en,,0,0,@wontplayright,Ben F Bridges,"Intersectional Feminist. I have SocialAnxiety and painful disabilities. Voice typing. He, XXY. Xennial. #AboriginalLivesMatter #BLM #fibro #spoonie 🇦🇺",104128,146078,4391,4807,34,FALSE,@Falconer084
@wontplayright @OwlbearArmchair @RichardAOB @ProudSocialist Seriously I just told you that I'm not voting for Biden because I'm not American. I'm saying that your choice is your fault because you failed. YOU.,22/10/2020 9:57,en,,0,0,@wontplayright,Ben F Bridges,"Intersectional Feminist. I have SocialAnxiety and painful disabilities. Voice typing. He, XXY. Xennial. #AboriginalLivesMatter #BLM #fibro #spoonie 🇦🇺",104128,146078,4391,4807,34,FALSE,@Falconer084
"@wontplayright @OwlbearArmchair @RichardAOB @ProudSocialist They have extremist right wing religious leaders just like Trump. Osama Bin Laden comes to mind, but maybe you are right and I feel bad. I will delete after all I am being childish as you said trying to piss you off and I apologise to you to.",22/10/2020 10:05,en,,0,0,@wontplayright,Ben F Bridges,"Intersectional Feminist. I have SocialAnxiety and painful disabilities. Voice typing. He, XXY. Xennial. #AboriginalLivesMatter #BLM #fibro #spoonie 🇦🇺",104127,146078,4391,4807,34,FALSE,@Falconer084
@wontplayright @RichardAOB Also nothing to do with what I said. That tweet was all about American voters voting for Biden because you failed to convince them to go for someone better like Warren. I liked Warren.,22/10/2020 10:03,en,,0,0,@Falconer084,Ben F Bridges,"Intersectional Feminist. I have SocialAnxiety and painful disabilities. Voice typing. He, XXY. Xennial. #AboriginalLivesMatter #BLM #fibro #spoonie 🇦🇺",104128,146078,4391,4807,34,FALSE,@Falconer084
"@woolavy Yes I totally agree, if the MSM was actually truthful I think trump would be miles ahead, I know he probably is anyway.",22/10/2020 9:52,en,,1,0,@woolavy,DAVID...??,"someone with amnesia.
 #BREXIT #REMOANERSALTYTEARS 🏴󠁧󠁢󠁥󠁮󠁧󠁿🇬🇧🏴󠁧󠁢󠁥󠁮󠁧󠁿🇬🇧 dm's will be ignored.",4979,8073,2346,2149,1,FALSE,@tic_peter
"@wordwhisperer @realDonaldTrump If Hunter Biden, Bill Gates and George Soros were in that photo it'd be bigger news than faked moon landings.

Also, isn't that an NIH lab?",22/10/2020 10:00,en,,0,0,@wordwhisperer,mr small games,Maker of tiny games.,2375,4,123,10,0,FALSE,@tonkatsumaster
@wpjenna Obama clobbered Trump with a massive can of Whup-Ass last night....a thing of beauty!,22/10/2020 10:10,en,,0,0,@wpjenna,Brian Richardson,"Husband, Father, Sales Manager; Principal Timpanist; Patriot....Truth = North Star",13153,608,396,58,6,FALSE,@brichtimp
